"","Region","skin.bleaching","Year"
"325","Alabama",45,2010
"326","Arizona",43,2010
"327","Kentucky",40,2010
"328","Illinois",40,2010
"329","Pennsylvania",37,2010
"330","Washington",35,2010
"331","Kansas",35,2010
"332","Indiana",35,2010
"333","Michigan",34,2010
"334","California",34,2010
"335","Massachusetts",34,2010
"336","South Carolina",33,2010
"337","Utah",32,2010
"338","Oklahoma",29,2010
"339","Virginia",28,2010
"340","Missouri",26,2010
"341","Ohio",25,2010
"342","Colorado",25,2010
"343","Arkansas",24,2010
"344","Minnesota",23,2010
"345","Iowa",21,2010
"346","Wisconsin",17,2010
"347","Idaho",NA,2010
"348","South Dakota",NA,2010
"349","North Dakota",NA,2010
"350","Montana",NA,2010
"351","Hawaii",NA,2010
"352","West Virginia",NA,2010
"353","New Hampshire",NA,2010
"354","Maine",NA,2010
"355","Vermont",NA,2010
"356","Alaska",NA,2010
"357","Wyoming",NA,2010
"358","Maryland",100,2011
"359","Delaware",96,2011
"360","District of Columbia",90,2011
"361","New York",87,2011
"362","Florida",83,2011
"363","Virginia",80,2011
"364","Nevada",77,2011
"365","Georgia",73,2011
"366","Texas",68,2011
"367","Mississippi",67,2011
"368","Rhode Island",66,2011
"369","Alabama",66,2011
"370","Louisiana",65,2011
"371","California",61,2011
"372","New Jersey",60,2011
"373","Arizona",59,2011
"374","Oklahoma",58,2011
"375","Pennsylvania",57,2011
"376","Massachusetts",55,2011
"377","North Carolina",51,2011
"378","Illinois",46,2011
"379","New Mexico",46,2011
"380","Connecticut",46,2011
"381","South Carolina",45,2011
"382","Michigan",45,2011
"383","Kansas",42,2011
"384","Washington",41,2011
"385","Ohio",40,2011
"386","Minnesota",39,2011
"387","Missouri",36,2011
"388","Nebraska",34,2011
"389","Indiana",32,2011
"390","Tennessee",31,2011
"391","Colorado",31,2011
"392","Wisconsin",27,2011
"393","Utah",26,2011
"394","Arkansas",26,2011
"395","Kentucky",24,2011
"396","Oregon",21,2011
"397","Iowa",16,2011
"398","North Dakota",NA,2011
"399","Hawaii",NA,2011
"400","Wyoming",NA,2011
"401","Idaho",NA,2011
"402","Vermont",NA,2011
"403","West Virginia",NA,2011
"404","Maine",NA,2011
"405","New Hampshire",NA,2011
"406","Alaska",NA,2011
"407","Montana",NA,2011
"408","South Dakota",NA,2011
"409","New York",100,2012
"410","Mississippi",90,2012
"411","District of Columbia",88,2012
"412","Maryland",86,2012
"413","Texas",81,2012
"414","Georgia",80,2012
"415","Florida",79,2012
"416","Nevada",79,2012
"417","North Carolina",77,2012
"418","Delaware",76,2012
"419","California",76,2012
"420","Rhode Island",76,2012
"421","New Jersey",75,2012
"422","Connecticut",68,2012
"423","Louisiana",65,2012
"424","Alabama",61,2012
"425","Arizona",59,2012
"426","Virginia",58,2012
"427","Pennsylvania",57,2012
"428","Utah",55,2012
"429","South Carolina",55,2012
"430","New Mexico",55,2012
"431","Illinois",51,2012
"432","Massachusetts",48,2012
"433","Missouri",48,2012
"434","Minnesota",47,2012
"435","Michigan",46,2012
"436","Indiana",42,2012
"437","Wisconsin",42,2012
"438","Washington",37,2012
"439","Colorado",36,2012
"440","Arkansas",35,2012
"441","Ohio",32,2012
"442","Tennessee",32,2012
"443","Oregon",31,2012
"444","Kentucky",31,2012
"445","Iowa",28,2012
"446","Oklahoma",26,2012
"447","Nebraska",26,2012
"448","Kansas",19,2012
"449","Wyoming",NA,2012
"450","Hawaii",NA,2012
"451","Idaho",NA,2012
"452","Alaska",NA,2012
"453","West Virginia",NA,2012
"454","South Dakota",NA,2012
"455","North Dakota",NA,2012
"456","Vermont",NA,2012
"457","Montana",NA,2012
"458","Maine",NA,2012
"459","New Hampshire",NA,2012
"460","Maryland",100,2013
"461","New York",100,2013
"462","Georgia",89,2013
"463","District of Columbia",86,2013
"464","Louisiana",77,2013
"465","Florida",77,2013
"466","Texas",72,2013
"467","New Jersey",72,2013
"468","South Carolina",69,2013
"469","Delaware",69,2013
"470","California",69,2013
"471","Nevada",66,2013
"472","Mississippi",66,2013
"473","Virginia",65,2013
"474","Kansas",62,2013
"475","North Carolina",61,2013
"476","Massachusetts",61,2013
"477","Illinois",60,2013
"478","Rhode Island",58,2013
"479","Michigan",56,2013
