Region,"Population estimates, July 1, 2018,  (V2018)","Population estimates base, April 1, 2010,  (V2018)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2018,  (V2018)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2013-2017","Foreign born persons, percent, 2013-2017","Housing units,  July 1, 2018,  (V2018)","Owner-occupied housing unit rate, 2013-2017","Median value of owner-occupied housing units, 2013-2017","Median selected monthly owner costs -with a mortgage, 2013-2017","Median selected monthly owner costs -without a mortgage, 2013-2017","Median gross rent, 2013-2017","Building permits, 2018","Households, 2013-2017","Persons per household, 2013-2017","Living in same house 1 year ago, percent of persons age 1 year+, 2013-2017","Language other than English spoken at home, percent of persons age 5 years+, 2013-2017","Households with a computer, percent, 2013-2017","Households with a broadband Internet subscription, percent, 2013-2017","High school graduate or higher, percent of persons age 25 years+, 2013-2017","Bachelor's degree or higher, percent of persons age 25 years+, 2013-2017","With a disability, under age 65 years, percent, 2013-2017","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2013-2017","In civilian labor force, female, percent of population age 16 years+, 2013-2017","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2013-2017","Median household income (in 2017 dollars), 2013-2017","Per capita income in past 12 months (in 2017 dollars), 2013-2017","Persons in poverty, percent","Total employer establishments, 2016","Total employment, 2016","Total annual payroll, 2016 ($1,000)","Total employment, percent change, 2015-2016","Total nonemployer establishments, 2017","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
Kansas,"2,911,505","2,853,126",2.00%,"2,853,118",6.50%,24.20%,15.90%,50.20%,86.40%,6.10%,1.20%,3.10%,0.10%,3.00%,12.10%,75.70%,"185,292",7.00%,"1,280,774",66.40%,"$139,200 ","$1,310 ",$476 ,$801 ,"9,478","1,121,943",2.52,83.70%,11.50%,86.90%,77.50%,90.50%,32.30%,8.80%,10.20%,65.80%,61.20%,"4,873,411","18,248,370","86,076,260","60,226,324","38,276,461","$13,263 ",19.2,"$55,477 ","$29,600 ",11.90%,"74,884","1,184,710","51,016,318",-0.40%,"201,268","239,118","125,169","77,194","26,127","204,562","21,610","203,401",34.9,"81,758.72","""20"""
Iowa,"3,156,145","3,046,872",3.60%,"3,046,355",6.30%,23.20%,17.10%,50.20%,90.70%,4.00%,0.50%,2.70%,0.10%,1.90%,6.20%,85.30%,"193,451",5.00%,"1,409,650",71.10%,"$137,200 ","$1,202 ",$456 ,$740 ,"11,518","1,251,587",2.41,84.70%,7.60%,86.20%,76.60%,91.80%,27.70%,7.90%,5.50%,67.50%,63.20%,"5,468,687","18,583,828","116,668,830","62,318,301","44,905,624","$14,607 ",19,"$56,570 ","$30,063 ",10.70%,"81,563","1,354,487","56,930,435",1.20%,"211,320","259,121","135,382","82,345","14,707","236,561","25,889","217,779",54.5,"55,857.13","""19"""
Indiana,"6,691,878","6,484,061",3.20%,"6,483,802",6.30%,23.40%,15.80%,50.70%,85.10%,9.80%,0.40%,2.50%,0.10%,2.10%,7.10%,78.90%,"397,715",5.00%,"2,903,554",68.90%,"$130,200 ","$1,109 ",$389 ,$782 ,"21,480","2,537,189",2.53,85.00%,8.40%,85.50%,75.00%,88.30%,25.30%,9.90%,9.50%,63.80%,58.90%,"13,076,602","42,493,117","242,763,842","81,173,422","85,857,962","$13,133 ",23.4,"$52,182 ","$27,305 ",13.50%,"146,078","2,720,277","117,009,032",2.20%,"415,261","479,059","253,533","162,798","61,252","405,090","45,174","412,543",181,"35,826.11","""18"""
Missouri,"6,126,452","5,988,952",2.30%,"5,988,927",6.10%,22.50%,16.90%,50.90%,83.00%,11.80%,0.60%,2.10%,0.20%,2.30%,4.30%,79.30%,"424,605",4.00%,"2,806,371",66.90%,"$145,400 ","$1,225 ",$420 ,$784 ,"16,875","2,386,203",2.47,84.30%,6.00%,85.60%,75.00%,89.20%,28.20%,10.50%,10.80%,62.80%,58.90%,"12,430,310","40,089,316","111,535,362","91,916,351","90,546,581","$15,036 ",23.5,"$51,542 ","$28,282 ",13.40%,"160,912","2,494,720","112,072,115",2.10%,"418,097","491,606","257,948","162,616","61,035","415,972","49,217","415,542",87.1,"68,741.52","""29"""
Mississippi,"2,986,530","2,968,118",0.60%,"2,967,297",6.20%,23.60%,15.90%,51.50%,59.10%,37.80%,0.60%,1.10%,0.10%,1.30%,3.40%,56.50%,"172,587",2.30%,"1,332,577",68.10%,"$109,300 ","$1,105 ",$346 ,$740 ,"6,883","1,103,514",2.62,86.30%,3.90%,79.00%,64.30%,83.40%,21.30%,11.70%,14.20%,57.20%,53.60%,"6,999,175","16,630,587","66,441,608","28,302,952","37,053,190","$12,413 ",24.4,"$42,009 ","$22,500 ",19.80%,"58,850","939,322","34,356,961",1.40%,"219,596","235,454","125,079","89,159","74,824","155,094","26,789","198,566",63.2,"46,923.27","""28"""
Minnesota,"5,611,179","5,303,925",5.80%,"5,303,925",6.30%,23.20%,15.90%,50.20%,84.10%,6.80%,1.40%,5.10%,0.10%,2.50%,5.50%,79.50%,"319,438",8.20%,"2,456,064",71.60%,"$199,700 ","$1,506 ",$499 ,$906 ,"25,673","2,153,202",2.49,85.60%,11.30%,89.10%,80.80%,92.80%,34.80%,7.30%,5.10%,69.80%,66.10%,"11,722,627","40,403,572","123,076,309","104,485,117","78,898,182","$14,667 ",23.4,"$65,699 ","$34,712 ",9.50%,"150,115","2,661,627","137,135,936",1.90%,"409,860","489,494","268,710","157,821","47,302","428,716","45,582","419,628",66.6,"79,626.74","""27"""
Michigan,"9,995,915","9,884,117",1.10%,"9,883,640",5.70%,21.70%,17.20%,50.80%,79.30%,14.10%,0.70%,3.40%,Z,2.50%,5.20%,74.90%,"581,527",6.60%,"4,614,380",71.00%,"$136,400 ","$1,251 ",$471 ,$824 ,"19,580","3,888,646",2.49,85.40%,9.40%,86.50%,76.30%,90.20%,28.10%,10.40%,6.10%,61.20%,57.00%,"17,962,356","63,018,786","238,892,383","115,704,903","119,302,046","$12,071 ",24.3,"$52,668 ","$28,938 ",14.20%,"220,412","3,805,578","183,192,569",2.20%,"715,824","834,087","446,128","306,986","158,946","657,237","71,861","733,517",174.8,"56,538.90","""26"""
Massachusetts,"6,902,149","6,547,790",5.40%,"6,547,629",5.20%,19.80%,16.50%,51.50%,80.80%,8.90%,0.50%,7.10%,0.10%,2.50%,12.30%,71.40%,"325,299",16.20%,"2,914,929",62.40%,"$352,600 ","$2,102 ",$754 ,"$1,173 ","17,044","2,585,715",2.53,87.00%,23.10%,88.90%,83.00%,90.30%,42.10%,7.90%,3.30%,67.30%,63.40%,"17,508,975","63,583,090","81,927,799","123,904,370","92,915,380","$13,980 ",29.3,"$74,167 ","$39,913 ",10.50%,"177,631","3,254,781","204,747,200",2.80%,"559,925","607,664","357,158","199,210","89,967","499,959","58,339","525,667",839.4,"7,800.06","""25"""
Maryland,"6,042,718","5,773,798",4.70%,"5,773,552",6.00%,22.20%,15.40%,51.50%,58.80%,30.90%,0.60%,6.70%,0.10%,2.90%,10.40%,50.50%,"380,555",14.90%,"2,458,801",66.80%,"$296,500 ","$1,954 ",$598 ,"$1,311 ","18,647","2,181,093",2.68,86.30%,18.00%,90.20%,82.80%,89.80%,39.00%,7.40%,7.00%,67.50%,63.70%,"12,516,782","40,821,901","39,532,989","60,734,191","76,379,707","$12,980 ",32.7,"$78,916 ","$39,070 ",9.30%,"138,480","2,282,725","121,952,023",1.90%,"497,161","531,953","276,630","209,119","203,394","314,902","50,976","462,232",594.8,"9,707.24","""24"""
North.Carolina,"10,383,620","9,535,736",8.90%,"9,535,483",5.90%,22.20%,16.30%,51.40%,70.60%,22.20%,1.60%,3.20%,0.10%,2.30%,9.60%,62.80%,"670,326",7.80%,"4,684,876",65.00%,"$161,000 ","$1,261 ",$383 ,$844 ,"71,691","3,874,346",2.53,84.80%,11.40%,85.50%,75.80%,86.90%,29.90%,9.60%,12.60%,61.40%,57.40%,"18,622,258","55,227,505","202,344,646","105,275,586","120,691,007","$12,376 ",24.3,"$50,320 ","$28,123 ",14.70%,"227,347","3,794,926","170,980,033",3.40%,"760,638","805,985","435,677","287,058","183,380","603,182","86,571","684,743",196.1,"48,617.91","""37"""
